cliente_id,titulo_proposta,destino,data_inicio,data_fim,hotel_nome,hotel_cidade,hotel_checkin,hotel_checkout,hotel_moeda,hotel_valor_diaria,hotel_refeicao,hotel_item,hotel_estrelas,hotel_avaliacao,hotel_num_quartos,hotel_distancia_1,hotel_distancia_2,hotel_link,hotel_status
13,Maceió,Maceió,2026-11-22,2026-11-27,Pousada Praia Bela Maceió,Maceió,2026-11-22,2026-11-27,BRL,461.40,Café,,,7.2,3,Jatiúca,600m praia,https://www.booking.com/hotel/br/e-pousada-praia-bela.pt-br.html?age=10&aid=964694&app_hotel_id=4436623&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=4&group_children=1&label=hotel_details-lqoF5h%401786974628&no_rooms=1&req_adults=4&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2C10,OK
13,Fortaleza - Hosts BR,Fortaleza,2026-11-22,2026-11-27,Hosts BR,Fortaleza,2026-11-22,2026-11-27,BRL,576.40,Nada,,,,3,"10,8km centro","16,1km praia",https://www.booking.com/hotel/br/apartamento-confortavel-em-fortaleza-by-hosts-br.pt-br.html?age=10&aid=964694&app_hotel_id=8202006&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=10&group_children=1&label=room_list-Qhvztc%401786975368&no_rooms=3&req_adults=10&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2C10,Opção
13,Fortaleza - Porto de Iracema Vista Mar,Fortaleza,2026-11-22,2026-11-27,Porto de Iracema Vista Mar,Fortaleza,2026-11-22,2026-11-27,BRL,566.20,Nada,,4.0,8.1,2,"2,5km centro",100m praia,https://www.booking.com/hotel/br/porto-de-iracema.pt-br.html?age=10&aid=964694&app_hotel_id=397627&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=10&group_children=1&label=hotel_details-TI4UPy%401786975458&no_rooms=3&req_adults=10&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2C10,OK
13,Fortaleza - Hotel Aconchego Cearense,Fortaleza,2026-11-22,2026-11-27,Hotel Aconchego Cearense,Fortaleza,2026-11-22,2026-11-27,BRL,616.00,Café,,,7.1,3,"8,1km centro",7km praia,https://www.booking.com/hotel/br/aconchego-cearense-fortaleza1.pt-br.html?age=10&aid=964694&app_hotel_id=11001073&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=10&group_children=1&label=room_list-m3OW1D%401786975526&no_rooms=3&req_adults=10&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2C10,Opção
13,João Pessoa - Mar do Cabo Branco Residence,João Pessoa,2026-11-22,2026-11-27,Mar do Cabo Branco Residence,João Pessoa,2026-11-22,2026-11-27,BRL,575.80,Nada,Piscina,,8.6,3,Cabo Branco,100m praia,https://www.booking.com/hotel/br/mar-do-cabo-branco-residence.pt-br.html?age=10&aid=964694&app_hotel_id=2060343&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=10&group_children=1&label=room_list-w4hzIvo%401786976277&no_rooms=3&req_adults=10&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2C10,OK
13,João Pessoa - Breeze Residence,João Pessoa,2026-11-22,2026-11-27,Breeze Residence,João Pessoa,2026-11-22,2026-11-27,BRL,576.80,Nada,Piscina,,8.1,3,"8,0km centro",100m praia,https://www.booking.com/hotel/br/breeze-residence-beira-mar-de-bessa-by-carpediem.pt-br.html?age=10&aid=964694&app_hotel_id=14068827&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=10&group_children=1&label=room_list-61d3xb8%401786976560&no_rooms=3&req_adults=10&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2CA%2C10,Opção
13,Natal - Residencial Ponta Negra Flat,Natal,2026-11-22,2026-11-27,Residencial Ponta Negra Flat,Natal,2026-11-22,2026-11-27,BRL,349.80,Nada,Piscina,,8.7,3,"12,3km centro",600m praia,https://www.booking.com/Share-bqY6Zx,Opção
13,Natal - Pousada Nossa Natal,Natal,2026-11-22,2026-11-27,Pousada Nossa Natal,Natal,2026-11-22,2026-11-27,BRL,432.80,Café,Piscina,,8.8,2,Ponta Negra,100m praia,https://www.booking.com/Share-UzQzCz,OK
13,Porto de Galinhas - Villa Del Mar,Porto de Galinhas,2026-11-22,2026-11-27,Villa Del Mar,Porto de Galinhas,2026-11-22,2026-11-27,BRL,419.20,Nada,Piscina,,8.9,3,"2,5km centro",150m praia,https://www.booking.com/Share-nhS2Wpr,Opção
13,Porto de Galinhas - Bed & Breakfast Porto de Galinhas,Porto de Galinhas,2026-11-23,2026-11-28,Bed & Breakfast Porto de Galinhas,Porto de Galinhas,2026-11-23,2026-11-28,BRL,531.80,Café,,,9.0,5,No centro,400m praia,https://www.booking.com/Share-uMfSuU4,OK
13,Lençóis Maranhenses,Lençóis Maranhenses,2026-11-20,2026-11-25,Lençóis,Barreirinhas,2026-11-20,2026-11-25,BRL,325.60,Nada,,,7.7,5,300m centro,,https://www.booking.com/Share-r3onWL3,OK
36,Voo Londrina,Londrina,,,,,,,,,,,,,,,,,
36,Voo 06-21/11,Cairo/Tel Aviv,,,,,,,,,,,,,,,,,
36,Voo 06-22/11,Cairo/Tel Aviv,,,,,,,,,,,,,,,,,
62,Foz do Iguaçu,Foz do Iguaçu,2027-01-20,2027-01-25,Rede Andrade Mirante,Foz do Iguaçu,2027-01-20,2027-01-25,BRL,279.80,Café,Piscina,,7.7,1,1km centro,,https://www.booking.com/Share-5JYsWy1,OK
64,Noronha 5N6D,Fernando de Noronha,2026-12-09,2026-12-14,Pousada Visual Noronha,Noronha,2026-12-09,2026-12-14,BRL,656.00,Café,,,,1,150m centro,400m praia,https://www.booking.com/Share-Hmw6i6,OK
64,Noronha 4N5D,Fernando de Noronha,2026-12-07,2026-12-11,Pousada Visual Noronha,Noronha,2026-12-07,2026-12-11,BRL,820.00,Café,,,,1,150m centro,400m praia,https://www.booking.com/Share-Hmw6i6,OK
65,San Andrés,San Andrés,2026-12-06,2026-12-12,Be Happy Hotel,San Andrés,2026-12-06,2026-12-12,COP,162486.67,Café,Piscina,3.0,,1,1.6km centro,200m praia,https://www.booking.com/Share-g76RUo,OK
