cenario_id,descricao,cidade,fornecedor,moeda,valor_unitario,qtd_pessoas,transfer,link
11,Lagoa Bonita,Barreirinhas,Aventour,BRL,110.00,11,true,
11,Circuito Atins,Barreirinhas,Aventour,BRL,160.00,11,true,
11,Circuito Santo Amaro,Barreirinhas,Aventour,BRL,200.00,11,true,
11,Caburé e Rio Preguiças,Barreirinhas,Aventour,BRL,100.00,11,true,
11,Boia Cross Cardosa,Barreirinhas,Aventour,BRL,100.00,11,true,
15,Parque das Aves,Foz do Iguaçu,Não informado,BRL,110.00,3,false,https://ingressos.parquedasaves.com.br/
15,Cataratas do Iguaçu,Foz do Iguaçu,Não informado,BRL,118.00,3,false,https://tickets.cataratasdoiguacu.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=pmax&gad_source=1&gad_campaignid=22434235363&gbraid=0AAAAAqu1oCqbgpgHnWFXsmx3Tc_v1oAeW&gclid=CjwKCAjwvZHTBhAlEiwA1ug5Pzii0snok4UXC3239fZFGoRnOvg17wQHNwJcrna0VH18KWb3Js5L_hoCElwQAvD_BwE
16,Ilha Tour,Fernando de Noronha,Em Noronha,BRL,280.00,4,true,https://emnoronha.com.br/passeios/ilha-tour-coletivo
17,Ilha Tour,Fernando de Noronha,Em Noronha,BRL,280.00,4,true,https://emnoronha.com.br/passeios/ilha-tour-coletivo
18,"Johnny Cay, Acuario, Haynes Cay e manguezais",San Andrés,Get Your Guide,BRL,192.00,1,true,
22,Lagoa Bonita,Barreirinhas,Aventour,BRL,110.00,2,true,
23,Lagoa Bonita,Barreirinhas,Aventour,BRL,110.00,2,true,
24,Lagoa Bonita,Barreirinhas,Aventour,BRL,110.00,2,true,
25,Lagoa Bonita,Barreirinhas,Aventour,BRL,110.00,2,true,
22,Circuito Atins,Barreirinhas,Aventour,BRL,160.00,2,true,
23,Circuito Atins,Barreirinhas,Aventour,BRL,160.00,2,true,
24,Circuito Atins,Barreirinhas,Aventour,BRL,160.00,2,true,
25,Circuito Atins,Barreirinhas,Aventour,BRL,160.00,2,true,
22,Circuito Santo Amaro,Barreirinhas,Marreiros,BRL,200.00,2,true,
23,Circuito Santo Amaro,Barreirinhas,Marreiros,BRL,200.00,2,true,
24,Circuito Santo Amaro,Barreirinhas,Marreiros,BRL,200.00,2,true,
25,Circuito Santo Amaro,Barreirinhas,Marreiros,BRL,200.00,2,true,
22,Delta do Parnaíba,Parnaíba,Rota Combo,BRL,100.00,2,true,
23,Delta do Parnaíba,Parnaíba,Rota Combo,BRL,100.00,2,true,
24,Delta do Parnaíba,Parnaíba,Rota Combo,BRL,100.00,2,true,
25,Delta do Parnaíba,Parnaíba,Rota Combo,BRL,100.00,2,true,
22,Lado Leste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
23,Lado Leste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
24,Lado Leste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
25,Lado Leste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
22,Lado Oeste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
23,Lado Oeste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
24,Lado Oeste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
25,Lado Oeste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
26,Ilha do Campeche Saída da Barra da Lagoa,Florianópolis,Ilha da Magia,BRL,200.00,2,false,https://ilhadamagiaonline.com.br/passeio/ilha-do-campeche-passeio-saida-barra-da-lagoa/
27,Ilha do Campeche Saída da Barra da Lagoa,Florianópolis,Ilha da Magia,BRL,200.00,2,false,https://ilhadamagiaonline.com.br/passeio/ilha-do-campeche-passeio-saida-barra-da-lagoa/
